episode_id,scenario_id,model_name,raw_action,normalized_action,matched_expected,violation_type,annotator_judgment,annotator_reasoning
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,consult_nephrology,consult_nephrology,NONE,,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,give_ace_inhibitor,give_ace_inhibitor,NONE,,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,give_iv_diuretic,give_iv_diuretic,NONE,,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_imaging_cxr,order_imaging_cxr,NONE,,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_lab_bnp_repeat,order_lab_bnp_repeat,NONE,,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,add_thiazide_diuretic,add_thiazide_diuretic,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,assess_mental_status,assess_mental_status,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,assess_respiratory_status,assess_respiratory_status,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,assess_vital_signs,assess_vital_signs,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,consult_pulmonology,consult_pulmonology,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,give_aldosterone_antagonist,give_aldosterone_antagonist,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,give_anticoagulant,give_anticoagulant,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,give_diuretic_bolus,give_diuretic_bolus,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,give_heparin,give_heparin,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,give_medication_ace_inhibitor,give_medication_ace_inhibitor,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,give_medication_metoprolol,give_medication_metoprolol,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,give_medication_nitroglycerin,give_medication_nitroglycerin,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,give_medication_sglt2_inhibitor,give_medication_sglt2_inhibitor,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,give_medication_spironolactone,give_medication_spironolactone,NONE,deviation,,
adhf_warm_wet_qwen35b_r0,adhf_warm_wet,Qwen3.5-35B,give_nitrates_if_indicated,give_nitrates_if_indicated,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,give_oxygen,give_oxygen,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,nephrology_consult,nephrology_consult,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_imaging_ct_chest,order_imaging_ct_chest,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,order_imaging_ultrasound_lung,order_imaging_ultrasound_lung,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_lab_abg,order_lab_abg,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_lab_brain_natriuretic_peptide_repeat,order_lab_brain_natriuretic_peptide_repeat,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_lab_cbc,order_lab_cbc,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_lab_coagulation,order_lab_coagulation,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_lab_lactate,order_lab_lactate,NONE,deviation,,
adhf_warm_wet_oss120b_r2,adhf_warm_wet,oss-120b,order_lab_repeat_basic_metabolic_panel,order_lab_repeat_basic_metabolic_panel,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_lab_urinalysis,order_lab_urinalysis,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,order_urinalysis,order_urinalysis,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,reassess_perfusion,reassess_perfusion,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,request_consultation,request_consultation,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,start_inotrope_if_cardiogenic,start_inotrope_if_cardiogenic,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,start_noninvasive_ventilation,start_noninvasive_ventilation,NONE,deviation,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,,,fluid_restrict,omission,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,,,daily_weights,omission,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,,,monitor_urine_output,omission,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,,,monitor_electrolytes,omission,,
adhf_warm_wet_oss120b_r0,adhf_warm_wet,oss-120b,obtain_12_lead_ecg,obtain_12_lead_ecg,NONE,timing,,
af_new_onset_basic_oss120b_r0,af_new_onset_basic,oss-120b,assess_vital_signs,assess_vital_signs,assess_vital_signs,,,
af_new_onset_basic_oss120b_r2,af_new_onset_basic,oss-120b,give_medication_metoprolol_iv,give_medication_metoprolol_iv,NONE,,,
af_new_onset_basic_oss120b_r0,af_new_onset_basic,oss-120b,order_imaging_echo_transthoracic,order_imaging_echo_transthoracic,NONE,,,
af_new_onset_basic_oss120b_r0,af_new_onset_basic,oss-120b,order_lab_bmp,order_lab_bmp,order_lab_bmp,,,
af_new_onset_basic_oss120b_r1,af_new_onset_basic,oss-120b,order_lab_tsh,order_lab_tsh,order_lab_tsh,,,
af_new_onset_basic_oss120b_r1,af_new_onset_basic,oss-120b,order_monitor_telemetry,order_monitor_telemetry,NONE,,,
af_new_onset_basic_oss120b_r0,af_new_onset_basic,oss-120b,order_procedure_cardioversion,order_procedure_cardioversion,NONE,,,
af_new_onset_basic_oss120b_r1,af_new_onset_basic,oss-120b,start_iv_hydration,start_iv_hydration,NONE,,,
af_new_onset_basic_qwen27b_r2,af_new_onset_basic,Qwen3.5-27B,assess_anticoagulation_indication,assess_anticoagulation_indication,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_anticoagulation_risk,assess_anticoagulation_risk,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_anticoagulation_strategy,assess_anticoagulation_strategy,NONE,deviation,,
af_new_onset_basic_oss120b_r0,af_new_onset_basic,oss-120b,assess_chads2vasc_score,assess_chads2vasc_score,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_chf_risk,assess_chf_risk,NONE,deviation,,
af_new_onset_basic_qwen27b_r2,af_new_onset_basic,Qwen3.5-27B,assess_chf_symptoms,assess_chf_symptoms,NONE,deviation,,
af_new_onset_basic_qwen27b_r2,af_new_onset_basic,Qwen3.5-27B,assess_contraindications_to_cardioversion,assess_contraindications_to_cardioversion,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_contraindications_to_rate_control,assess_contraindications_to_rate_control,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_creatinine_for_anticoagulation,assess_creatinine_for_anticoagulation,NONE,deviation,,
af_new_onset_basic_qwen27b_r2,af_new_onset_basic,Qwen3.5-27B,assess_ejection_fraction,assess_ejection_fraction,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_electrolyte_abnormalities,assess_electrolyte_abnormalities,NONE,deviation,,
af_new_onset_basic_qwen27b_r1,af_new_onset_basic,Qwen3.5-27B,assess_kidney_function,assess_kidney_function,NONE,deviation,,
af_new_onset_basic_qwen27b_r2,af_new_onset_basic,Qwen3.5-27B,assess_rate_control_indication,assess_rate_control_indication,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_rate_control_strategy,assess_rate_control_strategy,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_rate_control_urgency,assess_rate_control_urgency,NONE,deviation,,
af_new_onset_basic_qwen27b_r2,af_new_onset_basic,Qwen3.5-27B,assess_rhythm_control_indication,assess_rhythm_control_indication,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_rhythm_control_strategy,assess_rhythm_control_strategy,NONE,deviation,,
af_new_onset_basic_qwen27b_r2,af_new_onset_basic,Qwen3.5-27B,assess_risk_stratification,assess_risk_stratification,NONE,deviation,,
af_new_onset_basic_qwen27b_r1,af_new_onset_basic,Qwen3.5-27B,assess_symptom_severity,assess_symptom_severity,NONE,deviation,,
af_new_onset_basic_qwen27b_r1,af_new_onset_basic,Qwen3.5-27B,assess_thromboembolic_risk,assess_thromboembolic_risk,NONE,deviation,,
af_new_onset_basic_qwen27b_r0,af_new_onset_basic,Qwen3.5-27B,assess_thyroid_dysfunction,assess_thyroid_dysfunction,NONE,deviation,,
af_new_onset_basic_qwen27b_r2,af_new_onset_basic,Qwen3.5-27B,assess_valvular_disease,assess_valvular_disease,NONE,deviation,,
af_new_onset_basic_qwen35b_r1,af_new_onset_basic,Qwen3.5-35B,give_medication_antiarrhythmic,give_medication_antiarrhythmic,NONE,deviation,,
af_new_onset_basic_qwen27b_r1,af_new_onset_basic,Qwen3.5-27B,monitor_heart_rate,monitor_heart_rate,NONE,deviation,,
